#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Domantas Sabonis,SAC,56,35.2,19.5,7.7,12.9,0.596,1.0,2.4,0.432,3.2,4.2,0.747,3.9,10.2,14.1,6.2,0.6,0.4,3.0,3.4
2,Karl-Anthony Towns,NYK,58,35.1,24.2,8.7,16.6,0.524,2.1,4.9,0.422,4.7,5.7,0.833,3.0,10.1,13.2,3.1,1.0,0.7,2.6,3.5
3,Nikola Jokic,DEN,60,36.4,29.0,11.1,19.3,0.577,1.9,4.5,0.428,4.8,6.0,0.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3
4,Ivica Zubac,LAC,64,32.7,16.2,7.2,11.6,0.622,0.0,0.0,0.0,1.8,2.8,0.635,3.7,8.8,12.5,2.5,0.8,1.2,1.6,2.2
5,Walker Kessler,UTA,50,30.4,11.5,5.0,6.9,0.725,0.0,0.1,0.333,1.5,2.8,0.536,4.7,7.6,12.3,1.6,0.6,2.5,1.5,2.2
6,Giannis Antetokounmpo,MIL,52,33.9,30.7,12.2,20.2,0.605,0.2,0.8,0.186,6.0,10.2,0.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.5
7,Anthony Davis,DAL,43,34.2,25.7,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9
8,Victor Wembanyama,SAS,46,33.2,24.3,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3
9,Rudy Gobert,MIN,57,33.0,11.1,4.3,6.6,0.654,0.0,0.0,0.0,2.4,3.6,0.685,3.5,6.9,10.4,1.9,0.7,1.5,1.3,2.4
10,Jalen Duren,DET,63,25.8,11.4,4.7,6.7,0.696,0.0,0.0,0.0,2.0,2.9,0.685,3.5,6.9,10.3,2.6,0.8,1.2,1.8,3.2
11,Alperen Sengun,HOU,62,31.5,19.2,7.5,15.0,0.502,0.3,1.3,0.247,3.9,5.6,0.693,3.3,7.0,10.3,4.9,1.1,0.8,2.6,2.9
12,Nikola Vucevic,CHI,57,32.0,19.0,7.8,14.5,0.534,1.8,4.5,0.389,1.7,2.1,0.817,2.3,7.9,10.3,3.4,0.9,0.6,1.7,2.4
13,Jarrett Allen,CLE,65,28.6,13.6,5.5,7.9,0.7,0.0,0.0,0.0,2.5,3.3,0.755,2.7,7.6,10.3,1.9,1.0,1.0,1.2,1.5
14,Deandre Ayton,POR,40,30.1,14.4,6.6,11.7,0.566,0.2,0.8,0.188,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2
15,Bam Adebayo,MIA,63,34.5,17.7,6.8,14.0,0.488,0.8,2.7,0.31,3.2,4.3,0.754,2.5,7.5,10.0,4.4,1.3,0.7,2.1,2.2
16,Jalen Johnson,ATL,36,35.7,18.9,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9
17,Josh Hart,NYK,62,37.9,14.5,5.5,10.3,0.539,1.1,3.3,0.337,2.3,2.9,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,2.6
18,Jakob Poeltl,TOR,51,29.9,14.1,6.2,10.0,0.614,0.0,0.0,0.0,1.8,2.6,0.681,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2
19,Evan Mobley,CLE,58,30.2,18.6,7.1,12.6,0.568,1.1,2.9,0.365,3.2,4.3,0.744,2.3,7.0,9.3,3.1,0.8,1.6,2.0,2.0
20,Jayson Tatum,BOS,61,36.6,27.2,9.3,20.3,0.456,3.6,10.2,0.354,5.1,6.3,0.807,0.7,8.1,8.8,5.9,1.1,0.5,2.9,2.2
21,Nick Richards,PHX,46,22.1,9.5,3.6,6.0,0.598,0.0,0.0,0.0,2.3,3.1,0.729,2.5,6.1,8.6,1.0,0.2,1.0,1.4,2.5
22,Clint Capela,ATL,55,21.4,8.9,4.0,7.1,0.559,0.0,0.0,0.0,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9
23,Onyeka Okongwu,ATL,59,26.5,12.6,5.0,8.8,0.571,0.5,1.6,0.299,2.0,2.8,0.732,3.1,5.4,8.4,2.2,0.8,0.9,1.1,2.5
